parameter,nominal,lower,upper,scale,estimate
sigma_K,0.1,1e-6,1e3,log,1
sigma_L,0.1,1e-6,1e3,log,1
sigma_S,0.1,1e-6,1e3,log,1
sigma_T,0.1,1e-6,1e3,log,1
sigma_U,0.1,1e-6,1e3,log,1
sigma_P,0.1,1e-6,1e3,log,1

Kp_K_D,5.562383e+01,1e-6,1e3,log,1
Kp_R_D,5.562383e+01,1e-6,1e3,log,1
Kp_L_D,4.196478e+01,1e-6,1e3,log,1
Kp_S_D,6.475789e+01,1e-6,1e3,log,1
Kp_T_D,6.322612e+01,1e-6,1e3,log,1
Kp_U_D,7.643254e+01,1e-6,1e3,log,1
PS_K_061,9.271306e-04,1e-6,1e3,log,1
PS_L_061,2.142868e-02,1e-6,1e3,log,1
PS_R_061,5.792745e-02,1e-6,1e3,log,1
PS_S_061,2.022008e-03,1e-6,1e3,log,1
PS_T_061,1.305856e-03,1e-6,1e3,log,1
PS_U_061,1.217994e-04,1e-6,1e3,log,1
Q_T_g,2.062306e+00,1e-6,1e3,log,1
bto_K,8.579112e-02,1e-6,1e3,log,1
bto_L,1.408861e-01,1e-6,1e3,log,1
bto_S,1.529400e-01,1e-6,1e3,log,1
bto_T,9.959412e-03,1e-6,1e3,log,1
bto_U,2.230023e-01,1e-6,1e3,log,1
deg_resp,2.455650e+00,1e-6,1e3,log,1
kel_L_D,4.749195e+00,1e-6,1e3,log,1
koef_resp_K,7.934936e+01,1e-6,1e3,log,1
koef_resp_L,2.091350e+02,1e-6,1e3,log,1
koef_resp_R,2.456379e+02,1e-6,1e3,log,1
tar_S,9.044673e-01,1e-6,1e3,log,1
w_B,8.138074e-02,1e-6,1e3,log,1
